,Fecha,Predicciones
0,2023-04-01,72.346954
1,2023-05-01,76.72368
2,2023-06-01,101.673935
3,2023-07-01,94.78419
4,2023-08-01,76.35553
5,2023-08-31,60.27366
6,2023-09-30,56.010914
7,2023-10-31,47.533978
8,2023-11-30,48.569363
9,2023-12-31,54.55471
10,2024-01-31,42.06206
11,2024-02-29,43.072453
12,2024-03-31,43.705055
13,2024-04-30,47.835915
14,2024-05-31,53.06785
15,2024-06-30,57.044796
16,2024-07-31,53.17252
17,2024-08-31,49.00313
