,Fechas,Red Neuronal,XGBoost,ARIMA,Precios
100,2023-01-01,70.52868,55.89835,488.9964490224876,73.2
101,2023-02-01,125.28521,91.81463,502.25697050686904,135.51
102,2023-03-01,98.17838,78.82966,514.9539477704999,92.07
103,2023-04-01,72.34696,72.058075,527.1113302552717,74.34
104,2023-05-01,76.72367,76.075905,538.7520496022613,74.35
105,2023-06-01,101.673935,81.49886,549.8980629061211,93.85
106,2023-07-01,94.7842,83.347176,560.5703941312485,91.21
107,2023-08-01,76.355545,51.23879,570.7891737678549,80.23
