Fechas,Predicciones
2024-05-15,725.8372
2024-05-16,715.7573
2024-05-17,747.7147
2024-05-18,743.0102
2024-05-19,656.73975
2024-05-20,601.826
2024-05-21,721.10144
2024-05-22,630.67706
2024-05-23,698.7891
2024-05-24,746.6617
2024-05-25,739.02673
2024-05-26,667.31006
2024-05-27,616.9968
2024-05-28,713.23285
2024-05-29,742.6686
2024-05-30,767.21826
2024-05-31,749.52734
2024-06-01,757.20435
2024-06-02,660.9146
2024-06-03,609.0285
2024-06-04,710.9421
2024-06-05,755.5002
2024-06-06,763.12256
2024-06-07,758.2737
2024-06-08,754.9408
2024-06-09,682.1818
2024-06-10,629.23236
2024-06-11,737.5575
2024-06-12,760.247
2024-06-13,781.6025
2024-06-14,763.6143
2024-06-15,770.1987
2024-06-16,685.0399
2024-06-17,631.21094
2024-06-18,756.84296
2024-06-19,799.56335
2024-06-20,806.57935
2024-06-21,795.4535
2024-06-22,791.2281
2024-06-23,709.5272
2024-06-24,660.5231
2024-06-25,775.0
2024-06-26,746.85834
2024-06-27,753.4397
2024-06-28,722.94965
2024-06-29,736.9522
2024-06-30,704.93414
2024-07-01,673.065
2024-07-02,789.8578
2024-07-03,812.1507
2024-07-04,821.79675
2024-07-05,801.48
2024-07-06,816.4245
2024-07-07,730.7204
2024-07-08,673.0655
2024-07-09,815.17883
2024-07-10,832.4222
2024-07-11,838.1383
2024-07-12,796.01135
2024-07-13,770.17596
2024-07-14,683.14984
2024-07-15,610.2601
2024-07-16,682.12134
2024-07-17,695.61005
2024-07-18,768.8927
2024-07-19,755.4589
2024-07-20,744.47516
2024-07-21,665.2144
2024-07-22,607.3221
2024-07-23,709.3889
2024-07-24,747.14374
2024-07-25,793.9802
2024-07-26,792.1147
2024-07-27,746.4997
2024-07-28,656.41046
2024-07-29,662.6525
2024-07-30,796.8043
2024-07-31,826.7439
2024-08-01,845.6474
2024-08-02,857.43396
2024-08-03,848.09485
2024-08-04,760.80396
2024-08-05,707.903
2024-08-06,863.5339
2024-08-07,871.1392
2024-08-08,852.9581
2024-08-09,838.74036
2024-08-10,837.313
2024-08-11,743.0665
2024-08-12,686.668
2024-08-13,775.221
2024-08-14,825.2746
2024-08-15,834.92035
2024-08-16,833.8086
2024-08-17,835.2347
2024-08-18,754.0414
2024-08-19,699.6537
2024-08-20,837.38745
