,TIME,Spain
0,1996-01,4.1089047135534305
1,1996-02,4.1089047135534305
2,1996-03,4.1089047135534305
3,1996-04,4.113166316462689
4,1996-05,4.117246955439405
5,1996-06,4.117246955439405
6,1996-07,4.117246955439405
7,1996-08,4.117246955439405
8,1996-09,4.117246955439405
9,1996-10,4.117735515012677
10,1996-11,4.117735515012677
11,1996-12,4.118061088839417
12,1997-01,4.110053855927281
13,1997-02,4.111856987306732
14,1997-03,4.111856987306732
15,1997-04,4.111856987306732
16,1997-05,4.111856987306732
17,1997-06,4.111856987306732
18,1997-07,4.110873864173311
19,1997-08,4.123903364463645
20,1997-09,4.123903364463645
21,1997-10,4.137882864236584
22,1997-11,4.137882864236584
23,1997-12,4.137882864236584
24,1998-01,4.10016094754354
25,1998-02,4.087487774758888
26,1998-03,4.087487774758888
27,1998-04,4.077706921069077
28,1998-05,4.077706921069077
29,1998-06,4.077706921069077
30,1998-07,4.069026754237811
31,1998-08,4.069026754237811
32,1998-09,4.069026754237811
33,1998-10,4.084967400409504
34,1998-11,4.097672352314776
35,1998-12,4.097672352314776
36,1999-01,4.062509838702082
37,1999-02,4.047776926405766
38,1999-03,4.047776926405766
39,1999-04,4.045504396802627
40,1999-05,4.040943785494986
41,1999-06,4.052480358123402
42,1999-07,4.071246510976124
43,1999-08,4.109068957620483
44,1999-09,4.109068957620483
45,1999-10,4.068684815441523
46,1999-11,4.074141854904581
47,1999-12,4.074141854904581
48,2000-01,4.059753117452481
49,2000-02,4.064400685849028
50,2000-03,4.064400685849028
51,2000-04,4.064400685849028
52,2000-05,4.068513802187579
53,2000-06,4.068513802187579
54,2000-07,4.068513802187579
55,2000-08,4.071417057578396
56,2000-09,4.071417057578396
57,2000-10,4.076350298849822
58,2000-11,4.079738409832738
59,2000-12,4.079738409832738
60,2001-01,4.073120925770474
61,2001-02,4.076010855533596
62,2001-03,4.076010855533596
63,2001-04,4.09150720740194
64,2001-05,4.085808231199814
65,2001-06,4.085808231199814
66,2001-07,4.085808231199814
67,2001-08,4.079738409832738
68,2001-09,4.079738409832738
69,2001-10,4.075501474420621
70,2001-11,4.075501474420621
71,2001-12,4.075501474420621
72,2002-01,4.086480387165299
73,2002-02,4.078892457663179
74,2002-03,4.078892457663179
75,2002-04,4.068000586882499
76,2002-05,4.068000586882499
77,2002-06,4.068000586882499
78,2002-07,4.070564033556697
79,2002-08,4.070564033556697
80,2002-09,4.070564033556697
81,2002-10,4.065602093356446
82,2002-11,4.065602093356446
83,2002-12,4.065602093356446
84,2003-01,4.072439726834051
85,2003-02,4.072439726834051
86,2003-03,4.072439726834051
87,2003-04,4.0824406577192764
88,2003-05,4.0824406577192764
89,2003-06,4.0824406577192764
90,2003-07,4.079061705357583
91,2003-08,4.079061705357583
92,2003-09,4.079061705357583
93,2003-10,4.081596989399598
94,2003-11,4.081596989399598
95,2003-12,4.081596989399598
96,2004-01,4.09016919081162
97,2004-02,4.09016919081162
98,2004-03,4.09016919081162
99,2004-04,4.080752608702634
100,2004-05,4.080752608702634
101,2004-06,4.080752608702634
102,2004-07,4.084630870034462
103,2004-08,4.084630870034462
104,2004-09,4.084630870034462
105,2004-10,4.091841432003982
106,2004-11,4.091841432003982
107,2004-12,4.091841432003982
108,2005-01,4.102973888920155
109,2005-02,4.103139109903596
110,2005-03,4.103139109903596
111,2005-04,4.118711918670395
112,2005-05,4.118711918670395
113,2005-06,4.118711918670395
114,2005-07,4.124388683570477
115,2005-08,4.134206095647231
116,2005-09,4.134206095647231
117,2005-10,4.142658422500651
118,2005-11,4.152613470346076
119,2005-12,4.152613470346076
120,2006-01,4.204692619390966
121,2006-02,4.204692619390966
122,2006-03,4.204692619390966
123,2006-04,4.221711158142542
124,2006-05,4.221711158142542
125,2006-06,4.221711158142542
126,2006-07,4.223470431430189
127,2006-08,4.223470431430189
128,2006-09,4.223470431430189
129,2006-10,4.217888748313555
130,2006-11,4.217888748313555
131,2006-12,4.217888748313555
132,2007-01,4.24017501043364
133,2007-02,4.24017501043364
134,2007-03,4.240319050765182
135,2007-04,4.23410650459726
136,2007-05,4.232220669556607
137,2007-06,4.232220669556607
138,2007-07,4.233526626355437
139,2007-08,4.233526626355437
140,2007-09,4.233526626355437
141,2007-10,4.2447740412475055
142,2007-11,4.246779485265856
143,2007-12,4.246779485265856
144,2008-01,4.2842759793301965
145,2008-02,4.2842759793301965
146,2008-03,4.2842759793301965
147,2008-04,4.298916727950875
148,2008-05,4.300002799195291
149,2008-06,4.300002799195291
150,2008-07,4.342245764662037
151,2008-08,4.344065128386763
152,2008-09,4.344065128386763
153,2008-10,4.35491234218231
154,2008-11,4.360930671379148
155,2008-12,4.360930671379148
156,2009-01,4.375505417683616
157,2009-02,4.375505417683616
158,2009-03,4.375505417683616
159,2009-04,4.331259517620229
160,2009-05,4.323470185213858
161,2009-06,4.323470185213858
162,2009-07,4.334672938290411
163,2009-08,4.334672938290411
164,2009-09,4.334672938290411
165,2009-10,4.334803991301542
166,2009-11,4.334803991301542
167,2009-12,4.334803991301542
168,2010-01,4.349632566862877
169,2010-02,4.349632566862877
170,2010-03,4.349632566862877
171,2010-04,4.362334001328145
172,2010-05,4.362461479179042
173,2010-06,4.362461479179042
174,2010-07,4.396422514957614
175,2010-08,4.396422514957614
176,2010-09,4.396422514957614
177,2010-10,4.427358444671965
178,2010-11,4.427358444671965
179,2010-12,4.427358444671965
180,2011-01,4.492785055393301
181,2011-02,4.492785055393301
182,2011-03,4.492785055393301
183,2011-04,4.507557357121091
184,2011-05,4.507557357121091
