,Fecha,Importacion Francia,Exportacion Francia,Importacion Portugal,Exportacion Portugal,Importacion Marruecos,Exportacion Marruecos,Importacion Andorra,Exportacion Andorra,Saldo Francia,Saldo Portugal,Saldo Marruecos,Saldo Andorra
67,2017-10-01,1214.4,-145.47,373.77,-719.71,0.5,-410.05,0.0,-30.45,1359.8700000000001,1195698.5104,410.55,30.45
68,2017-11-01,764.02,-803.79,654.13,-592.68,0.59,-356.58,0.0,-15.91,1567.81,1554535.1760999998,357.16999999999996,15.91
69,2017-12-01,775.82,-603.44,581.79,-804.75,4.29,-265.93,0.0,-27.71,1379.2600000000002,1922493.1716,270.22,27.71
70,2018-01-01,1883.72,-73.1,685.31,-660.82,0.42,-470.43,0.0,-24.8,1956.82,1812065.9769000004,470.85,24.8
71,2018-02-01,1549.51,-233.49,620.67,-660.97,0.7,-394.01,0.0,-25.31,1783.0,1642601.0895999996,394.71,25.31
72,2018-03-01,374.64,-1090.74,1186.77,-311.26,1.76,-396.03,0.0,-38.76,1465.38,2244093.8808999998,397.78999999999996,38.76
73,2018-04-01,1231.09,-187.86,688.36,-450.78,2.51,-381.15,0.0,-19.57,1418.9499999999998,1297639.9395999997,383.65999999999997,19.57
74,2018-05-01,69.59,-0.12,5.37,-30.37,0.01,-9.46,0.0,-0.48,69.71000000000001,1277.3476,9.47,0.48
75,2018-05-01,1821.91,-33.15,451.33,-499.14,1.22,-396.84,0.0,-11.52,1855.0600000000002,903393.2209000001,398.06,11.52
76,2018-06-01,1577.47,-7.76,739.93,-244.92,9.07,-209.7,0.0,-0.14,1585.23,969929.5224999998,218.76999999999998,0.14
77,2018-07-01,1760.88,-18.16,829.17,-231.95,0.6,-446.59,0.0,-0.23,1779.0400000000002,1125975.6543999999,447.19,0.23
78,2018-08-01,1295.55,-170.2,658.24,-333.34,9.52,-211.15,0.0,-4.61,1465.75,983230.8963999999,220.67000000000002,4.61
79,2018-09-01,1388.27,-118.16,593.28,-483.83,10.19,-261.94,0.0,-3.34,1506.43,1160165.9520999999,272.13,3.34
80,2018-10-01,668.79,-428.7,462.62,-615.37,16.19,-259.56,0.0,-26.45,1097.49,1162062.4401,275.75,26.45
81,2018-11-01,582.27,-711.52,752.3,-511.43,51.16,-87.55,0.0,-30.55,1293.79,1597013.5129,138.70999999999998,30.55
82,2018-12-01,1310.2,-394.32,650.75,-634.79,76.75,-44.72,0.0,-24.69,1704.52,1652613.0916,121.47,24.69
83,2019-01-01,921.25,-610.74,513.96,-673.27,145.22,-23.34,0.0,-26.72,1531.99,1409515.0729,168.56,26.72
84,2019-02-01,1724.66,-173.94,143.93,-846.21,189.67,-10.36,0.0,-15.98,1898.6000000000001,980377.2196000002,200.02999999999997,15.98
85,2019-03-01,2037.63,-36.65,171.31,-959.9,220.2,-8.04,0.0,-32.38,2074.28,1279636.0641,228.23999999999998,32.38
86,2019-04-01,1357.29,-49.02,344.71,-654.4,120.62,-14.1,0.0,-13.98,1406.31,998220.7920999998,134.72,13.98
